age,income,loan_amount,credit_score,employment_status,loan_term,existing_debts,default
36,69943.74,16509.1,674,Employed,12,10278.81,0
24,90382.9,6010.94,850,Employed,48,16853.32,0
64,52455.83,16159.31,619,Employed,48,5609.17,0
41,89148.89,6645.82,725,Unemployed,36,17943.94,0
61,50950.21,2000.0,703,Employed,36,12710.27,0
51,97266.5,8233.39,627,Employed,36,14601.47,0
56,125266.02,31578.16,695,Employed,36,7971.94,0
55,66947.9,15564.95,640,Self-Employed,12,6486.08,0
29,18000.0,19978.9,648,Employed,48,0.0,0
37,56298.18,13378.53,530,Part-Time,12,22393.47,1
42,100796.88,2000.0,678,Employed,12,18590.13,0
43,83826.92,26425.02,761,Employed,12,16713.51,0
22,76222.84,2000.0,685,Employed,24,14438.28,0
45,95216.71,13006.87,778,Employed,36,0.0,0
27,82111.34,17508.47,732,Self-Employed,48,6742.29,0
54,100443.13,20074.41,675,Part-Time,36,10207.43,0
51,92985.59,11461.77,623,Employed,36,4430.58,0
62,108042.51,2000.0,636,Employed,36,145.35,0
54,78969.9,10790.16,548,Employed,36,5158.46,0
37,92631.49,11261.18,656,Part-Time,48,12344.0,0
64,62321.82,11042.16,693,Unemployed,48,12345.79,1
39,54963.48,26730.53,834,Part-Time,48,18352.66,0
35,112669.19,7077.57,728,Employed,48,26442.26,0
61,75405.12,20708.81,602,Employed,60,16800.33,0
37,90122.01,19424.67,550,Unemployed,36,10771.15,1
24,73093.5,26644.1,661,Employed,36,24602.29,0
42,55337.11,16801.81,753,Self-Employed,48,926.45,0
56,70274.57,25120.18,660,Unemployed,24,0.0,0
29,105899.85,16450.02,729,Part-Time,36,5792.94,0
41,83881.0,21909.53,664,Self-Employed,60,17685.31,0
26,27213.17,4473.53,745,Employed,36,13179.92,0
51,64618.89,2000.0,536,Part-Time,12,4101.73,0
42,114557.34,21397.92,824,Employed,36,6910.34,0
35,64655.08,21880.65,580,Part-Time,24,3309.62,0
31,24988.03,22279.52,751,Employed,36,3309.44,0
46,117326.22,13275.61,656,Part-Time,36,22857.4,0
51,87059.81,31407.5,670,Part-Time,36,10995.96,0
63,68249.68,13861.1,658,Self-Employed,36,24387.07,0
40,60714.56,21787.91,703,Employed,12,5769.9,0
28,97058.8,23351.73,721,Employed,36,15437.88,0
58,56450.41,33468.66,775,Part-Time,12,13589.58,0
49,98706.41,15146.73,807,Self-Employed,36,18157.77,0
52,83554.88,12121.26,710,Employed,36,13781.84,0
25,76117.05,4516.69,834,Part-Time,24,18895.58,0
35,73637.87,31971.3,688,Part-Time,60,15879.38,0
55,65625.8,21792.7,777,Part-Time,36,4361.1,0
58,96141.0,22077.55,719,Self-Employed,24,17129.0,0
40,48366.43,46050.34,631,Unemployed,36,11278.31,1
57,29451.87,20925.4,696,Part-Time,12,6562.96,1
58,85361.0,6279.11,725,Employed,12,16857.84,0
38,85780.96,16236.87,677,Unemployed,60,18450.91,0
61,82006.03,9226.96,717,Employed,48,8615.04,0
33,80193.21,14437.18,758,Part-Time,48,9546.05,0
31,61986.49,14376.69,678,Part-Time,36,2290.16,0
51,89687.07,12716.78,415,Self-Employed,60,0.0,0
49,68861.05,5460.46,831,Employed,60,10303.84,0
27,57822.16,32332.51,653,Employed,12,17544.38,0
58,62202.72,20689.63,606,Employed,24,7987.14,0
29,120515.99,15970.75,579,Self-Employed,36,21994.56,0
57,26625.6,24818.74,650,Part-Time,36,10564.48,1
21,82494.7,22239.61,629,Employed,36,10592.93,0
56,28022.24,20481.22,614,Employed,24,9976.36,1
56,67294.17,24164.98,619,Self-Employed,48,18871.15,0
56,59159.31,19205.41,728,Employed,12,5287.63,0
50,18000.0,24031.99,850,Employed,48,11097.28,1
42,79725.94,24778.01,754,Employed,36,8168.4,0
52,60499.05,19464.47,781,Self-Employed,12,8069.02,0
33,18000.0,16016.45,646,Self-Employed,48,12246.08,1
56,90989.2,31773.58,689,Part-Time,36,11206.74,0
46,105875.15,13698.89,718,Employed,48,19361.7,0
41,107253.11,21521.82,621,Employed,60,11924.58,0
43,78973.91,21725.18,642,Part-Time,12,15885.04,0
46,71151.45,12513.98,757,Unemployed,24,13209.29,0
22,103203.92,10729.6,778,Employed,24,21826.31,0
27,112059.59,14815.33,686,Part-Time,12,9883.31,0
32,98339.22,13570.05,572,Part-Time,60,9903.0,0
26,46461.56,4876.82,653,Part-Time,48,17215.27,0
40,75033.62,12136.54,550,Employed,36,9787.98,0
51,80987.9,20396.01,687,Employed,48,15488.74,0
50,24759.58,29393.49,703,Employed,60,28365.4,1
42,81734.02,22989.52,656,Part-Time,24,5147.33,0
59,126824.8,2000.0,702,Part-Time,12,22721.69,0
46,85998.4,23771.73,718,Employed,48,8554.55,0
24,106835.33,12976.63,703,Employed,48,21363.75,0
55,74572.87,22077.72,572,Employed,24,16802.32,0
46,68169.54,17872.78,657,Self-Employed,36,16202.29,0
49,79531.78,16265.81,717,Part-Time,24,10943.26,0
46,49604.33,17079.88,822,Employed,36,10246.48,0
45,45905.62,17798.18,656,Self-Employed,36,6945.95,0
25,101657.61,30099.64,730,Employed,24,12043.93,0
46,104308.56,17823.06,759,Part-Time,48,10712.62,0
56,45222.34,27769.83,662,Part-Time,36,13337.13,1
34,94199.97,26459.15,783,Employed,48,2125.41,0
48,67826.0,24003.41,788,Self-Employed,36,12158.52,0
22,78495.21,2000.0,804,Part-Time,36,20838.57,0
36,81505.47,28049.69,721,Unemployed,24,18608.34,1
40,94858.76,13878.89,850,Self-Employed,24,12161.01,0
65,72067.96,24441.55,625,Employed,48,29936.93,0
30,105254.05,9247.2,850,Self-Employed,36,7958.53,0
33,77735.32,7334.33,749,Self-Employed,24,11393.3,0
39,85604.61,35787.5,801,Employed,60,1846.4,0
65,49168.44,9387.15,651,Unemployed,48,9174.55,1
59,123966.48,28314.96,756,Employed,24,24514.7,0
22,81745.62,19065.78,808,Part-Time,24,9441.63,0
31,87824.94,14218.92,582,Employed,36,1305.18,0
57,29795.35,17596.54,665,Employed,24,18103.99,0
23,49432.45,6290.15,487,Employed,60,14724.47,0
59,100947.09,17876.21,664,Self-Employed,36,17814.52,0
33,77172.28,8255.34,607,Part-Time,12,9920.64,0
62,22155.51,14441.01,660,Employed,36,4950.13,0
34,95957.25,26327.7,850,Employed,24,10714.64,0
40,56405.43,20287.72,835,Part-Time,36,15883.91,0
50,105282.92,4660.47,550,Self-Employed,24,11493.71,0
26,67804.11,25663.39,730,Employed,48,14715.69,0
46,75117.67,17936.1,752,Part-Time,48,8242.27,0
43,99473.86,13120.33,650,Employed,60,14975.68,0
56,47562.68,24720.09,696,Employed,24,11978.9,0
65,45178.83,16495.14,705,Employed,36,7058.88,0
50,65087.54,7509.05,559,Self-Employed,48,12979.65,0
39,90679.32,34630.29,587,Employed,36,9293.15,0
39,36728.07,17844.41,696,Part-Time,36,16320.15,0
39,28299.14,17267.53,689,Employed,60,18112.1,0
57,90593.02,14354.05,616,Unemployed,48,15510.76,1
35,54925.54,28619.69,609,Employed,60,555.09,0
28,60194.35,13276.09,672,Employed,36,5246.6,0
36,23579.74,4095.18,760,Employed,36,7543.96,0
22,53025.52,11891.9,673,Employed,36,6425.8,0
25,69810.82,29940.97,826,Employed,36,8200.07,0
25,93259.45,25489.19,617,Part-Time,24,18476.74,0
55,50719.25,15704.86,697,Part-Time,48,16890.58,0
53,111434.4,30359.3,648,Self-Employed,36,9033.04,0
52,52886.1,24731.48,733,Employed,36,16142.56,0
41,52922.7,15600.7,610,Part-Time,60,14301.89,0
53,108433.94,16506.81,850,Employed,48,11769.99,0
28,75286.5,20963.86,528,Self-Employed,24,20037.57,0
61,56199.38,10513.02,834,Self-Employed,36,7370.93,0
43,66121.67,18040.55,688,Employed,36,12369.32,0
63,103826.84,20776.62,730,Employed,24,4643.98,0
27,106655.07,2817.3,800,Part-Time,12,4979.49,0
43,49580.17,16296.12,757,Employed,36,2474.64,0
52,68939.15,15272.49,614,Self-Employed,48,5099.0,0
43,72253.92,27252.61,734,Unemployed,60,12581.7,1
41,45344.0,2000.0,848,Employed,36,9882.61,0
28,68607.87,14566.45,600,Employed,36,10110.9,0
38,70133.07,13664.21,850,Employed,24,9905.86,0
31,98505.24,26640.64,715,Part-Time,60,24409.2,0
34,100185.63,17608.08,641,Employed,48,4039.74,0
51,61769.77,34164.85,600,Employed,60,3291.35,0
49,64651.17,23959.92,660,Employed,36,6082.04,0
48,86607.31,14307.99,504,Unemployed,24,11496.74,1
37,55370.29,20156.93,643,Part-Time,36,15603.4,0
64,84716.0,14813.38,656,Self-Employed,36,16330.11,0
24,67802.34,25734.56,583,Unemployed,36,18612.47,1
36,45765.04,6010.22,747,Self-Employed,12,11242.33,0
26,46079.08,10586.74,660,Unemployed,12,9225.75,1
36,106176.47,22101.21,623,Employed,36,23434.22,0
64,66089.46,29031.81,651,Employed,60,0.0,0
37,111008.85,2000.0,712,Part-Time,48,12439.31,0
61,57159.09,30370.24,687,Employed,48,15010.05,0
43,77280.13,16738.78,617,Employed,24,25115.79,0
52,129816.92,2000.0,691,Part-Time,48,376.04,0
41,43565.33,2000.0,675,Self-Employed,36,9059.04,0
32,22554.64,4235.53,577,Employed,12,2496.73,0
55,102164.75,17822.66,654,Employed,36,0.0,0
64,49329.77,17406.92,732,Employed,24,10568.32,0
32,69482.34,23698.8,731,Employed,60,17831.66,0
56,55352.04,13054.62,659,Employed,48,20441.79,0
32,76704.07,8027.64,741,Employed,24,8276.89,0
53,46236.59,14282.22,592,Part-Time,36,16665.68,1
56,65501.5,18302.49,595,Employed,36,10615.97,0
41,81245.38,20076.96,657,Employed,24,15896.02,0
54,44792.28,10897.52,815,Self-Employed,36,20081.33,0
33,52497.9,26113.02,695,Employed,48,10640.39,0
24,61315.43,12407.43,655,Employed,48,19538.82,0
25,34279.61,10172.54,819,Employed,24,3508.81,0
41,59435.98,13118.48,654,Self-Employed,36,16595.57,0
61,72969.91,27673.56,850,Employed,12,19235.71,0
26,60011.28,16804.83,634,Employed,12,18511.46,0
41,63215.59,11749.38,589,Self-Employed,12,3704.85,0
52,69502.46,26334.97,665,Part-Time,12,10559.32,0
30,53606.41,37284.74,658,Self-Employed,36,14115.23,1
53,87276.56,19887.14,607,Unemployed,36,15101.37,1
34,105899.45,29104.58,850,Self-Employed,48,12811.13,0
57,58390.49,27324.7,709,Employed,36,22004.3,0
47,82129.96,12549.24,722,Employed,24,2930.48,0
45,64009.57,18239.71,638,Employed,60,10318.24,0
28,79137.18,6457.1,628,Employed,60,185.6,0
41,109144.49,16155.52,772,Employed,24,16348.74,0
59,82716.49,12364.29,529,Employed,36,15882.34,0
21,25664.64,14374.03,577,Self-Employed,24,35440.22,1
55,81349.89,11250.94,658,Self-Employed,60,19184.52,0
43,100821.59,15416.13,802,Employed,36,14319.56,0
53,64460.1,22790.09,646,Employed,12,13784.27,0
50,94890.87,16924.57,717,Employed,48,9783.72,0
40,52747.11,2000.0,682,Employed,48,12913.41,0
34,32861.52,11284.91,797,Employed,24,13933.74,0
49,73529.23,4325.41,537,Employed,36,0.0,0
27,26088.08,20196.54,746,Employed,36,13378.4,1
47,64005.72,22529.86,662,Unemployed,24,12707.07,1
25,102171.06,20308.93,763,Employed,24,24278.09,0
50,22255.93,10913.36,606,Self-Employed,48,11078.3,1
49,38012.58,20221.69,682,Employed,48,6641.18,0
24,44199.19,13768.97,671,Employed,48,13879.72,0
55,68417.0,7755.97,590,Employed,48,12520.44,0
39,60857.08,24677.37,565,Unemployed,36,11085.8,1
56,104978.41,25362.25,628,Employed,36,3047.08,0
22,93858.71,26540.06,692,Employed,48,10907.86,0
29,82381.82,12524.86,612,Unemployed,24,7945.66,1
43,73640.76,28614.26,650,Employed,24,10484.63,0
29,79830.74,13557.76,510,Employed,24,17125.07,0
35,48450.44,23881.51,647,Self-Employed,48,7278.4,0
50,91430.26,13401.79,772,Employed,36,10451.37,0
27,42198.89,15984.16,743,Unemployed,36,15788.43,1
51,90884.42,2000.0,672,Employed,36,10114.18,0
25,99653.56,15282.78,702,Part-Time,48,30264.3,0
28,75271.62,18819.81,605,Employed,24,13742.07,0
47,65594.67,14309.55,826,Part-Time,36,3306.72,0
56,80007.75,33805.69,850,Part-Time,48,6124.88,0
28,18000.0,7537.81,695,Part-Time,48,5420.46,0
34,77556.46,12927.77,850,Part-Time,36,6224.82,0
62,67166.15,9856.15,619,Self-Employed,24,15758.85,0
65,68734.3,12926.01,567,Employed,60,4254.43,0
47,87663.31,27282.72,616,Employed,36,9681.56,0
41,68130.78,31302.29,660,Employed,60,19999.23,0
36,41494.83,11692.87,850,Employed,48,8361.59,0
48,66464.93,11492.93,655,Employed,60,16700.41,0
47,71688.89,7585.84,603,Self-Employed,12,219.21,0
34,72873.35,29756.57,599,Self-Employed,36,9405.69,0
22,74047.98,28089.04,783,Unemployed,24,5798.38,1
27,95984.23,17046.16,770,Employed,24,14098.4,0
64,42849.14,5435.11,636,Part-Time,24,4756.55,0
39,74392.51,6240.04,511,Self-Employed,36,26487.6,0
42,102248.24,19535.67,578,Unemployed,36,524.31,1
42,26634.71,22944.04,835,Part-Time,36,19950.47,1
56,74491.17,2000.0,742,Employed,36,18147.94,0
23,55365.54,15108.21,686,Employed,24,14169.03,0
24,60732.24,32564.66,848,Unemployed,36,12381.03,1
33,47379.81,16042.42,850,Self-Employed,48,24984.71,0
42,65761.23,31406.74,677,Part-Time,12,29296.75,0
51,116031.39,23841.42,678,Part-Time,48,10549.13,0
43,38389.24,8241.48,628,Self-Employed,36,13104.39,0
40,40759.75,15365.96,654,Part-Time,36,8133.2,0
63,37451.64,16841.75,546,Part-Time,48,3814.99,0
28,113185.46,9427.4,546,Part-Time,36,15241.79,0
46,58441.51,9271.19,525,Employed,36,13747.36,0
45,69359.02,31560.92,778,Employed,60,728.45,0
42,59930.43,9203.75,539,Employed,12,15192.01,0
57,46389.43,27705.92,850,Employed,36,13981.98,0
33,64121.23,14071.64,614,Part-Time,60,7791.29,0
63,131456.09,17769.25,836,Part-Time,48,7334.34,0
35,104801.77,23056.6,647,Employed,36,14966.46,0
45,48676.55,12612.97,539,Employed,24,23262.17,0
44,86189.35,23111.14,796,Employed,36,14788.77,0
59,49211.93,2000.0,806,Part-Time,60,17463.39,0
40,25590.81,21957.37,598,Self-Employed,48,6174.63,1
33,95487.77,2000.0,650,Employed,24,9100.09,0
21,99002.32,15958.38,598,Employed,24,16256.12,0
37,96151.31,25688.19,669,Self-Employed,48,2491.59,0
58,58253.37,23600.66,690,Employed,36,13450.41,0
21,65830.61,6314.31,648,Part-Time,60,15453.96,0
61,88744.14,7473.02,516,Unemployed,36,11730.26,1
45,79787.4,11801.95,628,Employed,36,14235.6,0
27,60159.06,19675.94,743,Employed,24,12404.74,0
34,29523.2,2000.0,661,Employed,36,7644.87,0
45,72846.88,17880.99,651,Employed,36,3753.25,0
35,96975.24,20802.86,596,Employed,12,11367.81,0
25,40060.29,15452.67,625,Employed,36,21131.54,0
50,85968.98,22727.89,807,Employed,24,19170.67,0
51,78288.54,20013.52,577,Part-Time,48,9582.67,0
26,88753.71,13125.11,745,Employed,24,9437.27,0
33,91799.39,2000.0,684,Part-Time,36,8922.01,0
31,52638.37,19200.72,702,Employed,48,8922.91,0
50,29576.01,9422.32,614,Employed,24,14014.25,0
53,56662.01,12794.92,648,Employed,36,19402.37,0
53,92228.18,22312.12,679,Employed,48,27839.66,0
63,56449.9,30756.0,633,Employed,36,6191.07,0
55,52648.92,17657.46,710,Part-Time,36,16558.26,0
35,24466.24,22986.58,721,Part-Time,48,15796.34,1
25,113816.19,4999.69,850,Employed,60,9691.78,0
48,90642.84,20209.71,705,Employed,48,4817.94,0
62,89247.4,17460.85,508,Employed,36,13927.61,0
64,94193.13,29063.05,785,Part-Time,36,26839.16,0
31,84417.71,13135.87,662,Employed,36,13883.33,0
31,63891.78,15825.26,850,Employed,36,6489.38,0
22,65905.9,27529.33,812,Part-Time,36,10899.14,0
27,59310.89,17171.7,635,Part-Time,48,4018.78,0
45,135868.52,8020.43,745,Self-Employed,36,12129.57,0
45,83897.8,40964.7,627,Employed,60,16783.86,0
37,58404.99,8292.67,680,Employed,60,7151.8,0
34,81637.42,17417.7,741,Employed,36,0.0,0
58,44728.28,21120.19,780,Self-Employed,24,13938.17,0
41,107612.67,20408.56,761,Part-Time,60,8489.13,0
57,53473.27,16292.31,687,Employed,24,6745.31,0
64,82527.14,16337.16,850,Part-Time,48,6684.89,0
35,96649.44,15885.61,647,Employed,12,14801.76,0
30,79619.21,7956.6,535,Part-Time,24,9144.66,0
63,72361.75,37351.97,553,Employed,24,18513.12,0
49,70270.05,16020.08,813,Employed,24,18667.16,0
34,68588.97,23372.38,673,Employed,60,10105.58,0
48,55582.54,14988.12,694,Self-Employed,24,8353.94,0
44,58762.91,14807.13,631,Employed,24,12893.96,0
61,106989.76,13901.01,639,Employed,48,10982.25,0
32,67286.58,4051.39,609,Part-Time,60,0.0,0
65,50355.09,16554.41,722,Self-Employed,36,25398.73,0
63,57092.56,14336.93,671,Self-Employed,48,17000.35,0
29,97509.27,28543.72,719,Self-Employed,12,8755.6,0
28,86890.17,7229.7,711,Self-Employed,48,0.0,0
44,84008.23,12805.68,642,Self-Employed,48,10736.98,0
23,63561.97,9914.04,549,Employed,60,7884.16,0
34,84334.06,30982.77,541,Employed,36,11575.99,0
40,53910.97,10175.32,850,Employed,60,0.0,0
64,63509.65,23060.7,813,Employed,36,8694.27,0
65,94245.11,26731.45,801,Employed,48,9120.75,0
27,91856.94,16684.89,619,Employed,48,10654.07,0
61,45452.25,5608.7,681,Employed,24,10346.55,0
25,48611.84,5722.62,607,Part-Time,60,12365.76,0
54,72717.55,25737.88,562,Self-Employed,48,22648.24,0
59,113153.31,6654.65,627,Self-Employed,60,8394.9,0
61,22110.87,21528.24,799,Part-Time,36,5621.89,1
31,76958.32,19029.14,756,Employed,48,0.0,0
61,35598.92,21394.19,593,Employed,36,8422.22,0
26,54141.73,22244.26,652,Employed,60,2191.24,0
44,60889.29,9596.96,747,Employed,12,18720.67,0
42,59487.29,9220.25,629,Employed,36,11327.26,0
35,56655.1,24434.34,687,Part-Time,24,18576.25,0
21,70180.18,12335.9,716,Employed,48,22259.88,0
55,56618.61,2000.0,715,Employed,36,5944.59,0
36,33438.57,23838.8,703,Employed,60,9568.48,0
50,89496.74,8673.65,621,Employed,60,21321.81,0
39,88821.8,22204.22,630,Self-Employed,36,13324.52,0
37,91079.36,30535.4,578,Self-Employed,48,15650.57,0
60,31481.64,18150.86,539,Part-Time,48,19230.84,1
25,77472.95,26961.89,670,Self-Employed,36,18275.6,0
54,86899.47,19384.18,753,Employed,36,14872.52,0
54,44219.95,32286.86,556,Employed,24,21774.53,1
38,70229.33,8441.04,705,Self-Employed,12,11522.22,0
32,67093.33,17926.07,751,Employed,36,15635.9,0
21,116053.77,24058.45,515,Employed,36,10762.69,0
63,118112.4,16286.29,656,Employed,36,19143.86,0
63,28391.09,28369.97,828,Self-Employed,60,7094.65,1
31,132348.18,14111.64,730,Employed,12,220.01,0
22,47119.36,36624.34,512,Unemployed,60,16584.47,1
26,94516.83,37099.78,739,Employed,48,4859.03,0
24,94262.45,20538.65,613,Employed,48,4165.3,0
58,45107.74,22973.41,742,Employed,36,20854.51,0
61,82331.69,28725.04,618,Employed,24,18763.96,0
27,67311.66,7315.22,675,Employed,60,9602.49,0
54,83858.25,6192.0,632,Self-Employed,48,0.0,0
29,75766.81,29307.77,680,Employed,48,15732.68,0
37,99908.49,20465.9,629,Employed,24,16637.53,0
47,71884.99,15961.45,660,Employed,36,15617.68,0
53,65803.15,18100.11,574,Employed,36,15295.97,0
60,97401.61,2000.0,724,Unemployed,36,10730.28,0
23,84509.9,16284.94,696,Employed,48,9126.72,0
29,88295.33,11222.58,535,Part-Time,24,4256.87,0
33,53385.33,26262.64,769,Employed,24,7118.22,0
34,43868.43,26955.28,664,Employed,12,14250.39,0
65,55806.95,23190.12,695,Part-Time,24,14365.49,0
55,54479.47,21559.13,749,Employed,24,17528.77,0
35,89654.98,4523.88,710,Part-Time,12,2154.98,0
64,94399.6,23315.79,785,Employed,36,385.42,0
43,66121.74,23664.58,654,Employed,48,9342.06,0
43,105772.98,29206.73,773,Part-Time,48,4860.37,0
40,104211.73,37063.89,691,Employed,36,13301.91,0
27,76084.97,2766.95,726,Unemployed,12,2830.86,0
63,49452.71,14503.71,716,Unemployed,48,20261.62,1
21,109384.42,11319.6,792,Employed,36,6245.58,0
28,68474.57,19552.56,745,Employed,24,23148.72,0
31,73154.13,18120.62,640,Part-Time,36,15670.11,0
33,61509.87,15893.26,622,Employed,60,4613.38,0
26,47755.24,27248.44,676,Self-Employed,36,26663.22,1
21,33284.01,8087.27,612,Employed,60,13858.17,0
51,85821.71,8629.91,585,Employed,24,13162.84,0
64,50414.97,8781.97,488,Employed,24,11543.52,0
26,146488.28,14757.05,541,Self-Employed,24,15265.87,0
34,42848.16,6942.69,850,Self-Employed,48,15677.94,0
43,38565.44,17562.86,621,Self-Employed,36,5945.18,0
62,82753.47,16510.59,850,Employed,36,10505.14,0
52,108232.84,10921.36,716,Employed,60,12809.91,0
55,71614.74,25863.9,676,Employed,36,16079.18,0
47,84306.06,17464.5,545,Employed,24,16197.82,0
39,23911.31,27563.83,680,Employed,48,13151.79,1
29,53062.21,16244.55,850,Self-Employed,24,8147.74,0
59,43159.61,17782.25,820,Employed,36,7788.86,0
57,22623.85,12934.96,705,Employed,60,3659.58,0
22,72924.51,17936.58,577,Self-Employed,36,16148.21,0
53,18000.0,24410.08,594,Employed,36,7688.16,1
24,36945.1,14297.99,603,Unemployed,36,10657.72,1
54,56570.16,22665.71,795,Employed,24,13664.21,0
58,49217.85,10685.28,827,Employed,36,12027.54,0
26,79910.21,24831.46,698,Part-Time,36,11960.72,0
40,77639.5,12780.85,653,Self-Employed,24,5665.27,0
26,92344.97,25665.12,819,Part-Time,12,13882.04,0
46,88809.59,18548.79,592,Employed,36,9810.2,0
62,98520.32,31688.58,685,Employed,36,11395.2,0
24,69952.04,7613.39,722,Self-Employed,36,20105.78,0
38,77586.67,4714.41,602,Employed,60,15537.23,0
64,82787.84,12454.04,623,Self-Employed,24,8004.36,0
34,73541.42,5538.5,616,Employed,24,10957.6,0
26,60070.14,5555.39,808,Employed,60,23196.06,0
42,61688.94,23593.96,850,Employed,24,9848.32,0
43,49561.04,17962.39,690,Part-Time,60,12279.17,0
50,80540.42,13682.87,656,Employed,48,16649.02,0
35,67649.62,14517.34,626,Unemployed,36,13506.34,1
64,53420.66,12624.86,680,Employed,24,9390.27,0
44,53443.88,32853.32,630,Employed,36,6796.06,0
33,39740.03,11380.45,671,Employed,48,11929.31,0
64,94471.03,6100.79,717,Self-Employed,12,16606.14,0
62,71965.44,25164.46,644,Part-Time,48,21246.3,0
43,48430.0,16058.2,663,Employed,48,1742.52,0
22,90213.69,36348.96,663,Employed,48,24339.49,0
47,55988.78,13264.15,651,Self-Employed,12,9981.14,0
45,34837.48,25613.86,640,Employed,48,18473.79,1
27,95530.56,27739.78,749,Self-Employed,48,6837.25,0
49,56572.58,13307.98,521,Self-Employed,12,724.12,0
58,59777.52,11313.71,822,Employed,60,2809.38,0
25,71029.5,24672.3,692,Self-Employed,24,9683.3,0
53,98564.73,23174.03,735,Self-Employed,60,15668.65,0
27,70500.93,5304.51,745,Employed,12,12218.35,0
54,40022.07,7844.08,616,Employed,24,10248.36,0
39,83596.93,2000.0,598,Employed,48,19826.16,0
21,57875.26,23358.48,587,Part-Time,24,12013.9,1
64,117198.1,15643.56,658,Self-Employed,24,13958.49,0
28,69972.01,16540.65,743,Employed,12,33777.19,0
47,18000.0,2777.0,627,Employed,48,11943.73,0
29,78934.12,8117.08,735,Employed,12,7129.08,0
62,118614.94,13698.37,467,Employed,36,15366.72,0
54,109398.01,11949.07,645,Employed,36,17138.62,0
57,115773.86,19060.52,785,Employed,36,14106.88,0
40,44506.0,23251.21,665,Employed,36,13098.39,0
42,92803.81,38426.51,605,Self-Employed,24,22375.62,0
49,51950.14,17819.85,621,Self-Employed,60,21500.73,0
56,75607.23,28038.62,407,Employed,48,11180.29,0
59,38176.19,10530.25,589,Self-Employed,60,7495.54,0
21,53888.61,2925.48,775,Employed,48,15004.42,0
50,53093.83,14829.29,628,Employed,48,7455.37,0
25,92463.88,3620.5,638,Unemployed,60,18196.13,1
33,90017.98,18132.06,470,Employed,36,14968.39,0
58,76920.49,10975.91,533,Employed,60,30690.22,0
32,36239.46,2000.0,787,Employed,12,22313.08,0
56,62209.01,33624.23,736,Self-Employed,24,4448.82,0
41,51347.09,13161.94,563,Employed,36,8368.48,0
31,91741.89,3261.43,623,Unemployed,36,0.0,0
36,99454.62,26083.55,677,Employed,36,0.0,0
44,96409.64,11442.47,572,Employed,36,12796.79,0
55,51119.51,27811.49,500,Employed,36,3653.31,0
48,18000.0,11399.45,666,Self-Employed,60,23488.3,1
62,25825.95,13131.92,732,Employed,36,20105.41,0
60,105540.67,21103.49,733,Part-Time,36,10099.54,0
54,59968.63,23338.97,759,Part-Time,48,9701.81,0
48,51231.88,24916.35,540,Employed,36,22397.61,1
34,111066.51,17192.33,685,Employed,48,24002.25,0
39,101629.0,22757.55,656,Employed,36,5471.81,0
26,70611.22,24710.66,672,Self-Employed,12,4571.72,0
